ID	weeks	osp_id	yy	year	month	zone	port	date	sam_per	tot_catch	sampled	ad_clip	gsi_samp	samprate	ad_rate	gsi_rate	spp	fl_mm	tl_in	fishery	HZ	NumMiss	Max.RepU.1	Max.Prob.1	Max.RepU.2	Max.Prpb.2	Max.RepU.3	Max.Prob.3	AssignedTo	NumLoci	ObsLogL	zScore	FractionSimmedGreater	weeknum	monthnum	monthname	headtag	cwtcode	brdyr	runame	stockname	hatchery	reartype	prodfct
T040863	20	02-E294	2	2002	7	FB	FTB	2002-07-07	13	4074	1071	45	38	0.26	0.04	0.04	1	766	32.4	2	0.581081081081081	21	CentralValleyfa	0.99722436	CentralValleysp	0.00171771	MidOregonCoast	0.00058337	CentralValleyfa--Butte_Cr_fa	74	-29.390373	-1.335193	0.0953	20	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T040889	7	02-F056	2	2002	4	MO	MON	2002-04-08	7	19449	3954	279	59	0.2	0.07	0.01	1	781	33.1	1	0.736842105263158	19	CentralValleyfa	0.97493768	CentralValleysp	0.02506231	CentralValleywi	0	CentralValleyfa--Feather_H_sp	76	-25.747004	0.906908	0.8134	7	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T040897	13	02-F082	2	2002	5	FB	SHC	2002-05-24	10	2584	692	53	73	0.27	0.08	0.11	1	884	37.3	2	0.554054054054054	21	CentralValleyfa	0.98281164	CentralValleysp	0.01718827	DeschutesRfa	8e-08	CentralValleyfa--Butte_Cr_fa	74	-24.386985	0.985589	0.8386	13	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T040902	13	02-F091	2	2002	5	FB	SHC	2002-05-25	10	2584	692	53	73	0.27	0.08	0.11	1	876	36.9	2	0.666666666666667	26	CentralValleyfa	0.99518123	CentralValleysp	0.00481572	DeschutesRfa	2.73e-06	CentralValleyfa--Feather_H_sp	69	-23.898587	0.464024	0.6613	13	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T040914	14	02-F111	2	2002	5	FB	SHC	2002-05-29	10	2584	692	53	73	0.27	0.08	0.11	1	822	34.7	2	0.0909090909090909	51	CentralValleyfa	0.94441204	CentralValleysp	0.05558786	LColumbiaRfa	6e-08	CentralValleyfa--Butte_Cr_fa	44	-15.778028	0.004122	0.4723	14	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T040978	31	02-FB073	2	2002	9	SF	SAU	2002-09-28	18	1086	332	26	25	0.31	0.08	0.08	1	667	28.4	2	0.313432835820896	28	CentralValleyfa	0.99986024	CentralValleysp	0.00013956	DeschutesRfa	1.8e-07	CentralValleyfa--Sacramento_R_lf	67	-22.257749	0.791937	0.7826	31	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T040984	32	02-FB079	2	2002	9	SF	SAU	2002-09-29	18	1086	332	26	25	0.31	0.08	0.08	1	519	22.3	1	0.0882352941176471	27	CentralValleyfa	0.99991142	CentralValleysp	8.858e-05	CentralValleywi	0	CentralValleyfa--Sacramento_R_lf	68	-29.637714	-2.76743	0.0078	32	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T041043	6	02-G007	2	2002	4	FB	SHC	2002-04-06	7	751	139	8	36	0.19	0.06	0.26	1	660	28.1	2	0.731707317073171	13	CentralValleyfa	0.43222114	MidOregonCoast	0.36120697	CentralValleysp	0.10998176	MidOregonCoast--Umpqua_sp	82	-33.5867	-1.475194	0.0787	6	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T041044	7	02-G008	2	2002	4	FB	SHC	2002-04-13	7	751	139	8	36	0.19	0.06	0.26	1	812	34.3	2	0.581395348837209	9	CentralValleyfa	0.99371682	CentralValleysp	0.00606625	MidOregonCoast	9.134e-05	CentralValleyfa--Butte_Cr_fa	86	-35.15889	-1.852466	0.0406	7	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T041075	6	02-H017	2	2002	3	MO	MON	2002-03-31	6	2779	616	0	95	0.22	0	0.15	1	702	29.8	2	0.5	23	CentralValleyfa	0.97650679	CentralValleysp	0.02349318	LColumbiaRfa	1e-08	CentralValleyfa--Battle_Cr	72	-23.479253	0.915471	0.8162	6	3	March	NA	NA	NA	NA	NA	NA	NA	NA
